Source Name	Comment [GEO_sample]	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Characteristics [strain]	Characteristics[sex]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Characteristics [cell type]	Characteristics [FACS marker]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[single cell isolation]	Comment[input molecule]	Comment[library construction]	Comment[end bias]	Comment[primer]	Comment[spike in]	Comment[spike in dilution]	Comment[LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment[technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue[single cell identifier]	FactorValue [cell type]
HSPC_001	GSM2166421 1	SRS1453980	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_001	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166421 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166421	HSPC_001	SRX1782990	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556264	SRR3556264	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3556264/SRR3556264.fastq.gz	HSPC_001	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_001	GSM2168347 1	SRS1455900	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_001	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168347 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168347	HSPC_001	SRX1784910	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558184	SRR3558184	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3558184/SRR3558184.fastq.gz	HSPC_001	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_002	GSM2166422 1	SRS1453981	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_002	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166422 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166422	HSPC_002	SRX1782991	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556265	SRR3556265	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3556265/SRR3556265.fastq.gz	HSPC_002	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_002	GSM2168348 1	SRS1455901	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_002	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168348 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168348	HSPC_002	SRX1784911	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558185	SRR3558185	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3558185/SRR3558185.fastq.gz	HSPC_002	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_003	GSM2166423 1	SRS1453982	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_003	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166423 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166423	HSPC_003	SRX1782992	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556266	SRR3556266	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3556266/SRR3556266.fastq.gz	HSPC_003	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_003	GSM2168349 1	SRS1455902	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_003	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168349 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168349	HSPC_003	SRX1784912	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558186	SRR3558186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3558186/SRR3558186.fastq.gz	HSPC_003	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_004	GSM2166424 1	SRS1453983	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_004	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166424 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166424	HSPC_004	SRX1782993	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556267	SRR3556267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3556267/SRR3556267.fastq.gz	HSPC_004	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_004	GSM2168350 1	SRS1455903	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_004	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168350 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168350	HSPC_004	SRX1784913	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558187	SRR3558187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3558187/SRR3558187.fastq.gz	HSPC_004	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_005	GSM2166425 1	SRS1453984	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_005	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166425 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166425	HSPC_005	SRX1782994	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556268	SRR3556268	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/008/SRR3556268/SRR3556268.fastq.gz	HSPC_005	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_005	GSM2168351 1	SRS1455905	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_005	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168351 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168351	HSPC_005	SRX1784914	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558188	SRR3558188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/008/SRR3558188/SRR3558188.fastq.gz	HSPC_005	hematopoietic stem cell and hematopoietic multipotent progenitor cell
