Assay,Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Sample Characteristic[strain],Sample Characteristic Ontology Term[strain],Sample Characteristic[sex],Sample Characteristic Ontology Term[sex],Sample Characteristic[age],Sample Characteristic Ontology Term[age],Sample Characteristic[organism part],Sample Characteristic Ontology Term[organism part],Sample Characteristic[cell type],Sample Characteristic Ontology Term[cell type],Sample Characteristic[facs marker],Sample Characteristic Ontology Term[facs marker],Factor Value[single cell identifier],Factor Value Ontology Term[single cell identifier],Factor Value[cell type],Factor Value Ontology Term[cell type]
HSPC_001,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_001,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_002,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_002,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_003,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_003,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_004,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_004,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_005,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_005,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_006,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_006,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_007,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_007,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_008,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_008,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_009,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_009,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_010,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_010,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_011,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_011,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_012,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_012,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_013,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_013,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_014,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_014,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_015,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_015,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_016,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_016,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_017,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_017,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_018,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_018,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_019,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_019,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_020,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_020,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_021,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_021,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
